0.200000000000D+01 0.946110970420D+00
0.300000000000D+01 0.414862053947D+00
0.400000000000D+01 0.394628374142D+00
0.500000000000D+01 0.309580764644D+00
0.638519780428D+01 0.366361806005D+00
0.842492012780D+01 0.266705796008D+00
0.104778659161D+02 0.176742325720D+00
0.130280373832D+02 0.168090215593D+00
0.169428559918D+02 0.281228662346D+00
0.220793411619D+02 0.131320648879D+00
0.271848842503D+02 0.179277815402D+00
0.356662928810D+02 0.784461094470D-01
0.478253968254D+02 0.130805044811D-01
0.570000000000D+02 0.429902540933D-02
0.103000000000D+03 0.296618930462D-02
0.121448318616D+03 0.327225568328D-02
