0.200000000000D+01 0.750565150893D+00
0.300000000000D+01 0.539027341922D+00
0.400000000000D+01 0.430650741404D+00
0.548601039002D+01 0.501817248961D+00
0.792645316279D+01 0.495795841243D+00
0.109861403304D+02 0.340351135165D+00
0.149520753946D+02 0.386004104030D+00
0.203132538055D+02 0.295538549653D+00
0.276352516065D+02 0.302247596737D+00
0.382994518588D+02 0.220617167579D+00
0.520442139489D+02 0.134769193342D+00
0.720640313686D+02 0.118086117698D+00
0.987687054842D+02 0.404354359112D-01
0.127557813682D+03 0.175132630296D-01
0.179992415701D+03 0.296033377742D-02
0.319000000000D+03 0.406157050736D-03
0.525176460677D+03 0.366728241013D-03
