0.200000000000D+01 0.941251064505D+00
0.300000000000D+01 0.481282023965D+00
0.400000000000D+01 0.407629101432D+00
0.544788697484D+01 0.498553067843D+00
0.700000000000D+01 0.141447060266D+00
0.888051033304D+01 0.378028191894D+00
0.119662320294D+02 0.232463228474D+00
0.156188169695D+02 0.173536939456D+00
0.192734917451D+02 0.139463886237D+00
0.260346273954D+02 0.925625943668D-01
0.330819751904D+02 0.145133396787D+00
0.426424321711D+02 0.450047113952D-01
0.565355120737D+02 0.138768190264D-01
0.693762532157D+02 0.917996110627D-02
0.840000000000D+02 0.983858598230D-03
0.119519734092D+03 0.315446923223D-02
0.162281183650D+03 0.222265849693D-02
