0.200000000000D+01 0.206236879236D+00
0.300000000000D+01 0.981335388178D-01
0.400000000000D+01 0.636026375538D-01
0.543452380952D+01 0.603435208792D-01
0.800000000000D+01 0.345407229250D-01
0.109666666667D+02 0.171567874773D-01
0.146829268293D+02 0.113878917739D-01
0.200166666667D+02 0.607039150559D-02
0.274687500000D+02 0.235858444702D-02
0.371111111111D+02 0.144977738843D-02
0.523333333333D+02 0.704118814377D-03
0.702777777778D+02 0.512958270001D-03
0.101272727273D+03 0.228369582826D-03
0.129000000000D+03 0.907471124569D-04
0.177000000000D+03 0.330551272977D-04
0.319000000000D+03 0.116955222814D-04
0.529500000000D+03 0.852031545953D-05
