0.200000000000D+01 0.273384504414D-02
0.300000000000D+01 0.343754761285D-02
0.400000000000D+01 0.636740191402D-03
0.500000000000D+01 0.144021834322D-02
0.655305224758D+01 0.524152394895D-02
0.858946534569D+01 0.656148574826D-02
0.106778468239D+02 0.533364979683D-02
0.129949256892D+02 0.508976106771D-02
0.168275569179D+02 0.142106437823D-01
0.221168301884D+02 0.180133323321D-01
0.280517894200D+02 0.211428309225D-01
0.359326879092D+02 0.141670525676D-01
0.483544802296D+02 0.103127805889D-01
0.570000000000D+02 0.116444833235D-01
0.103000000000D+03 0.699486288346D-02
0.127582477707D+03 0.145218807817D-01
