0.100000000000D+01 0.481861745024D+03
0.200000000000D+01 0.261137992120D+03
0.300000000000D+01 0.232274106391D+03
0.448012004308D+01 0.274278986851D+03
0.649713657772D+01 0.182741205574D+03
0.902780873943D+01 0.172944441754D+03
0.120325757998D+02 0.111650326446D+03
0.164091714038D+02 0.154903870618D+03
0.229114378822D+02 0.107971837131D+03
0.324073482455D+02 0.100806455789D+03
0.442479444151D+02 0.809897868159D+02
0.615420311364D+02 0.549325596383D+02
0.832434660076D+02 0.323921372347D+02
0.115252490455D+03 0.783186481392D+01
0.155201902108D+03 0.870405130921D+01
0.207236058132D+03 0.106578350240D+01
0.320935497019D+03 0.884332331922D+00
0.440000000000D+03 0.178342331474D+00
0.689990953126D+03 0.214908581343D+00
