0.200000000000D+01 0.153792352052D-03
0.300000000000D+01 0.218673264568D-03
0.400000000000D+01 0.148955423013D-03
0.543606163945D+01 0.374204784811D-03
0.828556318239D+01 0.705176415929D-03
0.112055382884D+02 0.717300208841D-03
0.152275393377D+02 0.127252948972D-02
0.211422093419D+02 0.174653308582D-02
0.287886632347D+02 0.168418108272D-02
0.389252954915D+02 0.248994144234D-02
0.539250321859D+02 0.269995999041D-02
0.715260915834D+02 0.434109868399D-02
0.100457920976D+03 0.513993602776D-02
0.131907317821D+03 0.267257175714D-02
0.175378096124D+03 0.214690993323D-02
0.319000000000D+03 0.108879732896D-02
0.533977137309D+03 0.290274848363D-02
