0.200000000000D+01 0.757455350293D+00
0.300000000000D+01 0.568390510666D+00
0.450702680970D+01 0.707484005827D+00
0.649111865917D+01 0.463550150803D+00
0.903003589858D+01 0.437961631741D+00
0.120494157634D+02 0.297930169295D+00
0.164274196766D+02 0.411847981571D+00
0.228662924722D+02 0.297126653866D+00
0.323328197620D+02 0.283441707481D+00
0.437608657409D+02 0.227939048073D+00
0.616589569684D+02 0.158709127840D+00
0.838432398739D+02 0.853150770779D-01
0.113122776965D+03 0.190927891015D-01
0.154549522053D+03 0.196306604165D-01
0.206635131204D+03 0.191653207172D-02
0.326735226715D+03 0.122178715901D-02
0.440000000000D+03 0.196519893328D-03
0.688220334163D+03 0.230601192931D-03
