0.200000000000D+01 0.780015805910D-03
0.300000000000D+01 0.785877006030D-03
0.400000000000D+01 0.141882690270D-02
0.500000000000D+01 0.788411811092D-03
0.640759440609D+01 0.368473955409D-02
0.851688908003D+01 0.291328872091D-02
0.105418616143D+02 0.388448934098D-02
0.134239786021D+02 0.869481751334D-02
0.171439237957D+02 0.614315647054D-02
0.219970940261D+02 0.151110530172D-01
0.275289372126D+02 0.113419818866D-01
0.368798873760D+02 0.678279571995D-02
0.480101376212D+02 0.135091267337D-01
0.576815457482D+02 0.150606978632D-01
0.800000000000D+02 0.783129994034D-02
0.130715524743D+03 0.174492453001D-01
