0.200000000000D+01 0.823622799368D+00
0.300000000000D+01 0.677233276576D+00
0.400000000000D+01 0.408911235279D+00
0.500000000000D+01 0.313095731749D+00
0.649090909091D+01 0.440622978381D+00
0.893277143703D+01 0.413686197934D+00
0.124871409630D+02 0.400000869888D+00
0.168709047778D+02 0.308768172993D+00
0.220949022369D+02 0.262665574085D+00
0.296850921764D+02 0.268045144514D+00
0.408383117957D+02 0.170718890051D+00
0.562308978583D+02 0.104584017088D+00
0.698403740542D+02 0.426823042333D-01
0.958106949445D+02 0.222493360186D-01
0.134075457043D+03 0.637768527270D-02
0.192966693699D+03 0.220860941819D-02
0.208000000000D+03 0.552671099635D-03
0.340474935881D+03 0.768780748314D-03
