0.200000000000D+01 0.327609549204D+00
0.300000000000D+01 0.122035501951D+00
0.400000000000D+01 0.689031242159D-01
0.553571428571D+01 0.523027598287D-01
0.700000000000D+01 0.158756589208D-01
0.904081632653D+01 0.273198067881D-01
0.119459459459D+02 0.159388105124D-01
0.156896551724D+02 0.965216095746D-02
0.193333333333D+02 0.385736229280D-02
0.255000000000D+02 0.198687999196D-02
0.325000000000D+02 0.153512605094D-02
0.427142857143D+02 0.830261088863D-03
0.576666666667D+02 0.274922538133D-03
0.695000000000D+02 0.141609279455D-03
0.840000000000D+02 0.547058900920D-04
0.122000000000D+03 0.845350358036D-04
0.164000000000D+03 0.653144076784D-04
