0.100000000000D+01 0.152550397141D+03
0.200000000000D+01 0.110191288414D+03
0.300000000000D+01 0.615782236899D+02
0.400000000000D+01 0.517305951610D+02
0.545155647580D+01 0.692302319317D+02
0.700000000000D+01 0.254532171526D+02
0.891340296994D+01 0.535145579546D+02
0.119621635657D+02 0.366661973050D+02
0.155757404477D+02 0.325469095464D+02
0.193511274871D+02 0.243056236677D+02
0.257998336304D+02 0.222094877665D+02
0.332197129422D+02 0.264107549142D+02
0.428290607026D+02 0.864964872261D+01
0.568633177570D+02 0.306854829062D+01
0.694874657353D+02 0.206158757624D+01
0.840000000000D+02 0.559019953032D+00
0.121584867076D+03 0.973770838818D+00
0.163169240916D+03 0.732263297305D+00
