0.200000000000D+01 0.603983151640D-03
0.300000000000D+01 0.332333005983D-03
0.400000000000D+01 0.106072365279D-02
0.562827439194D+01 0.213511116726D-02
0.700000000000D+01 0.117325757098D-02
0.917533999225D+01 0.274300019516D-02
0.119902400004D+02 0.408375690916D-02
0.154925497926D+02 0.635971306568D-02
0.195804036201D+02 0.662548419150D-02
0.254094416540D+02 0.125186068757D-01
0.337901907751D+02 0.176718958861D-01
0.435978812310D+02 0.918827362638D-02
0.576730381443D+02 0.447005685079D-02
0.696021693981D+02 0.518719876206D-02
0.840000000000D+02 0.355423833295D-02
0.124673500582D+03 0.100450862612D-01
0.165090473399D+03 0.958582249222D-02
