0.100000000000D+01 0.165239411298D+03
0.200000000000D+01 0.908612669763D+02
0.300000000000D+01 0.463475376679D+02
0.400000000000D+01 0.426974962187D+02
0.500000000000D+01 0.344818339913D+02
0.641099580688D+01 0.444055057824D+02
0.845134507894D+01 0.304128396810D+02
0.104746610073D+02 0.214326753142D+02
0.129410235829D+02 0.190823351259D+02
0.168818632868D+02 0.342285996640D+02
0.222231614585D+02 0.181198130431D+02
0.273684651982D+02 0.223689532850D+02
0.356123215842D+02 0.107285177359D+02
0.479150432295D+02 0.238820730304D+01
0.570000000000D+02 0.100474365281D+01
0.103000000000D+03 0.594712806705D+00
0.123295933275D+03 0.756312093184D+00
