0.200000000000D+01 0.772824975412D-04
0.300000000000D+01 0.437792031462D-04
0.449571599946D+01 0.246405628116D-03
0.645090476669D+01 0.242815706349D-03
0.896615062003D+01 0.501101264395D-03
0.121760891757D+02 0.424680920583D-03
0.165947835816D+02 0.678916757869D-03
0.230033180887D+02 0.117980660638D-02
0.332374862320D+02 0.170271803709D-02
0.455900714387D+02 0.177702200440D-02
0.617520981301D+02 0.251339944016D-02
0.827984047213D+02 0.235446464199D-02
0.120851230305D+03 0.158512571674D-02
0.157989646632D+03 0.282714599768D-02
0.208487767503D+03 0.773217619494D-03
0.315260843494D+03 0.179840166023D-02
0.440000000000D+03 0.117679498342D-02
0.696913684339D+03 0.214407387481D-02
