0.200000000000D+01 0.178701228419D+00
0.300000000000D+01 0.805278624888D-01
0.448872180451D+01 0.987635588162D-01
0.644886363636D+01 0.470025083967D-01
0.880536912752D+01 0.286212125363D-01
0.118347107438D+02 0.167178550648D-01
0.160787401575D+02 0.126209567950D-01
0.226065573770D+02 0.436025474016D-02
0.311632653061D+02 0.251925102381D-02
0.439696969697D+02 0.122034545518D-02
0.609090909091D+02 0.585173770360D-03
0.834705882353D+02 0.325240454241D-03
0.118571428571D+03 0.963267827547D-04
0.154181818182D+03 0.108876736686D-03
0.208000000000D+03 0.142385476936D-04
0.318666666667D+03 0.153620992429D-04
0.442000000000D+03 0.368317727237D-05
0.692000000000D+03 0.529841492831D-05
