0.200000000000D+01 0.353927861568D-03
0.300000000000D+01 0.211785310925D-03
0.400000000000D+01 0.502228415161D-03
0.500000000000D+01 0.371631383480D-03
0.656385946143D+01 0.553663557520D-03
0.916557810295D+01 0.136807810390D-02
0.125582970505D+02 0.174430471254D-02
0.170515705983D+02 0.256117397432D-02
0.229396675480D+02 0.248973116659D-02
0.298817258679D+02 0.412565673051D-02
0.410503916644D+02 0.339897364274D-02
0.541639635743D+02 0.529314637216D-02
0.704620221940D+02 0.416466666843D-02
0.981489105880D+02 0.433090637316D-02
0.136025735789D+03 0.408439149308D-02
0.190320190218D+03 0.368835830649D-02
0.208000000000D+03 0.196607329344D-02
0.347737967420D+03 0.463601286164D-02
