0.200000000000D+01 0.359027177455D+00
0.300000000000D+01 0.122242015562D+00
0.400000000000D+01 0.105395394492D+00
0.500000000000D+01 0.321685116382D-01
0.640540540541D+01 0.371999016489D-01
0.832142857143D+01 0.219961850031D-01
0.107333333333D+02 0.920725086741D-02
0.129523809524D+02 0.100718007034D-01
0.168333333333D+02 0.449695211516D-02
0.225454545455D+02 0.322091320299D-02
0.274166666667D+02 0.274547002177D-02
0.365000000000D+02 0.715063622179D-03
0.470000000000D+02 0.838079479286D-03
0.565000000000D+02 0.436559181565D-03
0.800000000000D+02 0.852771135079D-04
0.128666666667D+03 0.156189601135D-03
