0.100000000000D+01 0.298738860155D+03
0.200000000000D+01 0.170284013769D+03
0.300000000000D+01 0.137478355145D+03
0.400000000000D+01 0.900996259651D+02
0.500000000000D+01 0.703672993656D+02
0.650566700579D+01 0.991429281336D+02
0.895000286904D+01 0.973664713630D+02
0.124409082992D+02 0.874634843631D+02
0.168763901724D+02 0.755229579224D+02
0.222760753274D+02 0.584713469966D+02
0.298399539360D+02 0.581206665317D+02
0.405757011408D+02 0.366115669814D+02
0.554095473875D+02 0.249353063059D+02
0.702139219877D+02 0.113120621582D+02
0.964299248966D+02 0.629031444177D+01
0.134661394907D+03 0.236516087389D+01
0.191510139136D+03 0.921113038824D+00
0.208000000000D+03 0.295563954250D+00
0.341965274010D+03 0.390635941926D+00
