0.200000000000D+01 0.223491747930D+00
0.300000000000D+01 0.129420264360D+00
0.400000000000D+01 0.777341554398D-01
0.500000000000D+01 0.415982625314D-01
0.652631578947D+01 0.341133902408D-01
0.895180722892D+01 0.277379776946D-01
0.121475409836D+02 0.151779040583D-01
0.165945945946D+02 0.685439252038D-02
0.223333333333D+02 0.372405820805D-02
0.291923076923D+02 0.266999984793D-02
0.406666666667D+02 0.917496946131D-03
0.551000000000D+02 0.569257286064D-03
0.697142857143D+02 0.296682537971D-03
0.960000000000D+02 0.189334839321D-03
0.136000000000D+03 0.704832200082D-04
0.191000000000D+03 0.349848472974D-04
0.208000000000D+03 0.130237264414D-04
0.343500000000D+03 0.193932446071D-04
