0.100000000000D+01 0.150927881423D+03
0.200000000000D+01 0.888970676721D+02
0.300000000000D+01 0.629645704809D+02
0.400000000000D+01 0.459447240720D+02
0.500000000000D+01 0.375577512891D+02
0.656279580142D+01 0.496344024910D+02
0.844370852405D+01 0.376020688843D+02
0.104732691980D+02 0.206953797504D+02
0.134776775748D+02 0.373298636026D+02
0.170175043527D+02 0.241165410471D+02
0.218989357285D+02 0.252408230353D+02
0.272857153846D+02 0.206995331628D+02
0.364964310834D+02 0.812607228967D+01
0.468375602658D+02 0.799045315053D+01
0.557391457878D+02 0.517639929437D+01
0.800000000000D+02 0.648762696434D+00
0.128537381675D+03 0.139513101205D+01
