0.200000000000D+01 0.923060997658D+00
0.300000000000D+01 0.711939824282D+00
0.400000000000D+01 0.379450866889D+00
0.500000000000D+01 0.348058148963D+00
0.660058178563D+01 0.409764439048D+00
0.840543901167D+01 0.287243002855D+00
0.105413864776D+02 0.145679394741D+00
0.135635808635D+02 0.299805877412D+00
0.170193772343D+02 0.174284702412D+00
0.219026518913D+02 0.162997017522D+00
0.272476493585D+02 0.157769778513D+00
0.365684195291D+02 0.580747792334D-01
0.464582460473D+02 0.476664721370D-01
0.548223483978D+02 0.282297783007D-01
0.800000000000D+02 0.185904107447D-02
0.127336209324D+03 0.581931159184D-02
