0.200000000000D+01 0.382830501616D+00
0.300000000000D+01 0.103480863004D+00
0.400000000000D+01 0.520161676862D-01
0.500000000000D+01 0.271150972493D-01
0.642105263158D+01 0.223798026767D-01
0.850000000000D+01 0.128942052289D-01
0.104827586207D+02 0.208847055342D-01
0.130909090909D+02 0.619422609345D-02
0.168571428571D+02 0.616433633822D-02
0.221428571429D+02 0.241001771202D-02
0.271250000000D+02 0.215365572511D-02
0.352857142857D+02 0.147349281020D-02
0.485000000000D+02 0.329188116100D-03
0.570000000000D+02 0.128699815300D-03
0.103000000000D+03 0.786875425076D-04
0.124000000000D+03 0.123055146235D-03
