0.100000000000D+01 0.360623783728D+03
0.200000000000D+01 0.215238990964D+03
0.300000000000D+01 0.168214691907D+03
0.400000000000D+01 0.128640063812D+03
0.547762027814D+01 0.154458409671D+03
0.795658400455D+01 0.159398094568D+03
0.110076385268D+02 0.972483788178D+02
0.149434217448D+02 0.114008904960D+03
0.203289124593D+02 0.881856517125D+02
0.276056657151D+02 0.863962938840D+02
0.383828002059D+02 0.677718918947D+02
0.522798222148D+02 0.421659531674D+02
0.715228152755D+02 0.361200226528D+02
0.989327256699D+02 0.144601440395D+02
0.128480668806D+03 0.623821277793D+01
0.178658277579D+03 0.150779680401D+01
0.319000000000D+03 0.236143208824D+00
0.527236124415D+03 0.265946769478D+00
